PermitNum,MasterPermitNum,Description,AppliedDate,IssuedDate,CompletedDate,StatusCurrent,OriginalAddress,OriginalCity,OriginalState,OriginalZip,PIN,ProjectName,PermitType,PermitWorkType,EstProjectCost,EstPhotovoltaicCost,EstSolarCost,NewHousingUnits,ExistingHousingUnits,AffordableHousingUnits,RemovedHousingUnits,AddedSqFt,RemodeledSqFt,RemovedResSqFt,RemovedNonResSqFt,RemovedParkingStructureSqFt,RemovedDescription,PhotovoltaicKilowatt,PhotovoltaicElecVehicleOffset,ElecVehicleChargeStation,SolarSystemDescription,ContractorCompanyName,ContractorTrade,ObjectId
RFG2021-00086,,"*Total tear-off & reroof of SFD, 20 squares of tile shingles on a pitch represented as 7/12. All roof materials shall be installed per manufacturer?s specs.  Mid-roof inspection required if pitch is less than 4/12. All roof covering materials shall be listed as Class A as tested in accordance with UL Standard 790 or ASTM Standard E 108. At inspection, provide to building inspection staff original wrappers of materials used or applied. Provide additional information -- such as manufacturer's cut sheet for other products used - including, but not limited to, items such as flashing, valley material, sealants, fasteners, ventilation devices or features and roof jacks & penetration boots.Re-roof associated with Tesla Solar Roof System installation under permit ELE2021-00405.",3/19/2021,3/22/2021,,Issued,530 JUNIPER AVE,BOULDER,CO,80304,1.46124E+11,,Roofing Replacement Permit,Roofing Replacement Permit,8424,,,,,,,,,,,,,,,,,"TESLA ENERGY OPERATIONS, INC.",Contractor: Roofing,11
RFG2021-00087,,"*Total tear-off & reroof of SFD, 4 squares of EPDMshingles on a pitch represented as 2/12. All roof materials shall be installed per manufacturer?s specs.  Mid-roof inspection required if pitch is less than 4/12. All roof covering materials shall be listed as Class A as tested in accordance with UL Standard 790 or ASTM Standard E 108. At inspection, provide to building inspection staff original wrappers of materials used or applied. Provide additional information -- such as manufacturer's cut sheet for other products used - including, but not limited to, items such as flashing, valley material, sealants, fasteners, ventilation devices or features and roof jacks & penetration boots.

replace roofing on detached garage",3/19/2021,3/22/2021,,Issued,2680 LAFAYETTE DR,BOULDER,CO,80305,1.57717E+11,,Roofing Replacement Permit,Roofing Replacement Permit,4000,,,,,,,,,,,,,,,,,TIMBERLINE BUILDERS,Contractor: General,12
ROW2021-00276,,"Occupy ROW, path and lanes for aerial cable placing on existing Comcast facilities, JB000005437777",3/19/2021,3/19/2021,,Issued,6007 OREG AVE,BOULDER,CO,80303,1.46334E+11,,Right-of-Way Permit,Right-of-Way Permit,0,,,,,,,,,,,,,,,,,Sage Telecommunications,Contractor: Right-of-Way,13
ROW2021-00277,,set crane in paid parking area to hoist equipment on roof,3/19/2021,3/23/2021,,Issued,1089 13TH ST,BOULDER,CO,80302,1.46331E+11,,Right-of-Way Permit,Right-of-Way Permit,0,,,,,,,,,,,,,,,,,RMS CRANES LLC,Contractor: Right-of-Way,14
ROW2021-00278,,"Occupy manhole 2 houses to the south to allow top hat install, now have to dig in the street.",3/19/2021,3/19/2021,,Issued,3705 MOORHEAD AVE,BOULDER,CO,80305,1.57705E+11,,Right-of-Way Permit,Right-of-Way Permit,3200,,,,,,,,,,,,,,,,,THE ELITE PIPE MD,Contractor: Right-of-Way,15
ROW2021-00279,,Sewer repair in alley,3/19/2021,3/22/2021,,Issued,2129 13TH ST,BOULDER,CO,80302,1.4633E+11,,Right-of-Way Permit,Right-of-Way Permit,3700,,,,,,,,,,,,,,,,,THE ELITE PIPE MD,Contractor: Right-of-Way,16
ROW2021-00280,,R&R concrete curb and driveway within city ROW,3/19/2021,3/22/2021,,Issued,2130 MESA DR,BOULDER,CO,80304,1.46331E+11,,Right-of-Way Permit,Right-of-Way Permit,100,,,,,,,,,,,,,,,,,"WILLMARK ENTERPRISES, INC",Contractor: Right-of-Way,17
UTL2021-00282,,In-property sewer repair with cleanouts install,3/19/2021,,,Payment Pending,3300 ARAPAHOE AVE,BOULDER,CO,80303,1.46332E+11,,Utility Permit,Utility Permit,0,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,18
UTL2021-00283,,Occupy manhole 2 houses to the south to allow top hat install,3/19/2021,3/19/2021,,Issued,3705 MOORHEAD AVE,BOULDER,CO,80305,1.57705E+11,,Utility Permit,Utility Permit,0,,,,,,,,,,,,,,,,,THE ELITE PIPE MD,Contractor: Right-of-Way,19
UTL2021-00284,,sewer repair via liner. *contractor to provide CCTV camera and operator for inspection* Must be able to see that liner does not protrude in city main*,3/19/2021,3/22/2021,,Issued,1795 GILLASPIE DR,BOULDER,CO,80305,1.57717E+11,,Utility Permit,Utility Permit,0,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,20
BLD-ACC2021-00035,,"Installation of an in-ground custom shotcrete swimming pool (960 sf) and adjacent pool patio (1,870 sf) in the rear yard. Swimming pool to include an in-board spa (64 sf) and adjacent water feature (22 sf). Equipment room to be located underneath pool patio (450 sf).",3/18/2021,,,Pending at Applicant,1489 SUNSET BLVD,BOULDER,CO,80304,1.4633E+11,,Building Permit - Accessory,New,450000,,,,1,,,1046,,,,,,,,,,AQUALITY CONSTRUCTION,Contractor: General,21
BLD-ACC2021-00036,,"Addition of 5' x 8' exterior, uncovered, above-grade decks w/ railings to each of the 20 apartments in the Merritt Townhomes complex. Scope includes replacement of existing exterior windows with new glass sliding doors to access decks. Reference ADR2020-00098.",3/18/2021,,,Pending at Applicant,5105 MERRITT DR,BOULDER,CO,80303,1.46333E+11,,Building Permit - Accessory,Addition,4000,,,,20,,,40,,,,,,,,,,VAN MATRE CONSTRUCTION LLC,Contractor: General,22
BLD-ACC2021-00037,,"Addition of 5' x 8' exterior, uncovered, above-grade decks w/ railings to each of the 20 apartments in the Merritt Townhomes complex. Scope includes replacement of existing exterior windows with new glass sliding doors to access decks. Reference ADR2020-00098.",3/18/2021,,,Pending at Applicant,5185 MERRITT DR,BOULDER,CO,80303,1.46333E+11,,Building Permit - Accessory,Addition,4000,,,,20,,,40,,,,,,,,,,VAN MATRE CONSTRUCTION LLC,Contractor: General,23
BLD-ACC2021-00038,,"Addition of 5' x 8' exterior, uncovered, above-grade decks w/ railings to each of the 20 apartments in the Merritt Townhomes complex. Scope includes replacement of existing exterior windows with new glass sliding doors to access decks. Reference ADR2020-00098.",3/18/2021,,,Pending at Applicant,5157 MERRITT DR,BOULDER,CO,80303,1.46333E+11,,Building Permit - Accessory,Addition,4000,,,,20,,,40,,,,,,,,,,VAN MATRE CONSTRUCTION LLC,Contractor: General,24
BLD-MFD2021-00015,,"Unit E12: Second level balcony repairs per Lopez Smolens Engineering report, 48 sf. Plan references details for multiple locations in the community, permit for Unit E12 only.",3/18/2021,,,Pending at Applicant,3250 ONEAL CIR,BOULDER,CO,80301,1.4632E+11,,Building Permit - Multifamily,Repair,10000,,,,,,,,48,,,,,,,,,WATER EXTRACTION TEAM LLC,Contractor: General,25
BLD-MFD2021-00017,,"Unit 452 - Remediation of the unit to include electrical, drywall, insulation and flooring due to water damage from burst pipe. Related to ENF2021-00107 and ELE2021-00306.",3/23/2021,3/23/2021,,Issued,805 29TH ST,BOULDER,CO,80303,1.46332E+11,,Building Permit - Multifamily,Remodel,19512.5,,,,,,,,250,,,,,,,,,"Populum Real Estate Holdings, LLC dba Four Star Realty",Contractor: General,26
BLD-MFD2021-00016,,3-unit residential multi-family dwelling with new stair tower addition.,3/18/2021,,,Pending at Applicant,946 SPRUCE ST,BOULDER,CO,80302,1.46125E+11,,Building Permit - Multifamily,Addition and Remodel,950000,,,,,,,385,4497,,,,,,,,,SILVER LINING BUILDERS,Contractor: General,27
BLD-NRE2021-00039,,"Tenant interior remodel for Speculative Suite. Project to include addition of breakroom, an office, a small conference room, and associated MEP scopes..",3/18/2021,,,Pending at Applicant,3005 CENTER GREEN DR,BOULDER,CO,80301,1.4632E+11,,Building Permit - Non-Residential,Remodel,58476,,,,,,,,600,,,,,,,,,EJCM LLC,Contractor: General,28
BLD-NRE2021-00040,,"Tenant improvement to include new interior finishes, electrical work associated with tenant build out. Related to HIS2021-00041.",3/18/2021,,,Pending at Applicant,1539 PEARL ST,BOULDER,CO,80302,1.4633E+11,,Building Permit - Non-Residential,Remodel,175000,,,,,,,,2111,,,,,,,,,Burdg Dunham & Associates Construction Corp,Contractor: General,29
BLD-NRE2021-00041,,Exterior trellis addition over existing seating area and new mood (festoon) lighting over seating at Whole Foods. Related to ADR2021-00052.,3/18/2021,,,Pending at Applicant,695 S BROADWAY,BOULDER,CO,80305,1.57708E+11,,Building Permit - Non-Residential,Addition,300733.4,,,,,,,1040,,,,,,,,,,WANER CONSTRUCTION,Contractor: General,30
BLD-SFD2021-00122,,"Conversion of 140 sf unfinished storage area in basement into new bathroom with tub, shower, water closet and vanity. Current space is conditioned.",3/18/2021,,,In Review,3677 CHASE CT,BOULDER,CO,80305,1.57705E+11,,Building Permit - Single Family Detached Dwelling,Remodel,18550,,,,1,,,,140,,,,,,,,,VELOCITY BUILT,Contractor: General,31
BLD-SFD2021-00123,,"Project consists of an addition and full house remodel of an existing two-story single family residence with main level living space and garage/finished basement at the lower level. Renovation work includes the removal and replacement of existing garage/kitchen wing; relocation of bathrooms on the main level (1208 SF), renovation of the basement studio space (924 SF), and new fixtures + finishes throughout. The existing area of the home in the setback is to remain. Addition includes a new master suite, office, and powder room on the main level totaling 917sf, and a new mudroom, exercise room, powder room, and storage at the basement level totaling 916 sf. All windows, doors, and exterior finishes will be replaced, and new roofs will be installed.",3/18/2021,,,Pending at Applicant,850 CIRCLE DR,BOULDER,CO,80302,1.46136E+11,,Building Permit - Single Family Detached Dwelling,Addition and Remodel,800000,,,,,,,2297,2132,,,,,,,,,Waiting for Licensed Contractor,Contractor: General,32
BLD-SFD2021-00124,,"Remodel of existing 180 sf kitchen, to include new lighting configuration, re-routing of existing plumbing and removal of walls",3/18/2021,,,Pending at Applicant,931 TELLER CIR,BOULDER,CO,80303,1.46333E+11,,Building Permit - Single Family Detached Dwelling,Remodel,46000,,,,1,,,,180,,,,,,,,,"BROCKETT BUILDERS, LLC",Contractor: General,33
BLD-SFD2021-00125,,"The proposed scope of work includes removal of an existing chimney and fireplace, and infill with wall to match existing. Included in the infill wall will be a 38"" x 50"" window. No addition of square footage, no MEP scope.",3/18/2021,,,In Review,2903 BROADWAY,BOULDER,CO,80304,1.46125E+11,,Building Permit - Single Family Detached Dwelling,Remodel,5000,,,,,,,,6,,,,,,,,,BANNOCKBURN ENTERPRISES,Contractor: General,34
BLD-SFD2021-00126,,"New two-story residence with garage and partial basement.  3,085 sq ft first floor includes garage, kitchen, living, dining, flex/guest suite, and master suite.  701 sq ft upper floor includes guest suite and office.  453 sq ft basement includes storage and laundry room.",3/18/2021,,,Pending at Applicant,2587 3RD ST,BOULDER,CO,80304,1.46125E+11,,Building Permit - Single Family Detached Dwelling,New,3472255,,,,,,,4911,,,,,,,,,,HARRINGTON STANKO LLC,Contractor: General,35
BLD-SFD2021-00127,,"466 ft² 5th level addition (466 ft²) to an existing split-level home. Addition includes 181 ft² master bedroom, 114 ft² master bath,68 ft² closet, 46 ft² balcony and circulation.

Scope also includes new front entry door, remodel of existing 321 ft² kitchen, and remodel of existing 572 ft² living space.",3/18/2021,,,Received,1664 BEAR MOUNTAIN DR,BOULDER,CO,80305,1.57707E+11,,Building Permit - Single Family Detached Dwelling,Addition and Remodel,350000,,,,,,,466,989,,,,,,,,,KRUEGER CONSTRUCTION MGMT,Contractor: General,36
BLD-SFD2021-00128,,"261 sf kitchen remodel that includes removing wall between kitchen and dining room. 90 sf upper bathroom remodel that includes removal of a non-load bearing wall, minimal movement of plumbing fixtures, and replacement of existing light fixtures.",3/18/2021,,,Pending at Applicant,920 SYCAMORE AVE,BOULDER,CO,80303,1.46333E+11,,Building Permit - Single Family Detached Dwelling,Remodel,69500,,,,,,,,351,,,,,,,,,Elizabeth Parsons,Owner/Contractor,37
BLD-SFD2021-00129,,"New 8,430sf single family residence which includes 1,275 sf of attached garages on 48,588 sf lot. Proposed swimming pool, spa and accessory building/pool house under separate permits.",3/18/2021,,,Pending at Applicant,604 KALMIA AVE,BOULDER,CO,80304,1.46124E+11,,Building Permit - Single Family Detached Dwelling,New,5000000,,,,,,,9960,,,,,,,,,,Sugarloaf Building Co,Contractor: General,38
BLD-SFD2021-00130,,Interior alteration of a room originally constructed as a study in a single family detached dwelling constructed in 2019.  Scope includes remodel of the area for two new bedrooms and a bath.,3/18/2021,,,Pending at Applicant,1810 NORWOOD AVE,BOULDER,CO,80304,1.46319E+11,,Building Permit - Single Family Detached Dwelling,Remodel,50000,,,,,,,,442,,,,,,,,,JAMEY VALENTINE CONSTRUCTION INC,Contractor: General,39
BLD-SFD2021-00131,,"Removal of unpermitted ADU within principal structure, associated with ENF2020-00792. To include removal of range, outlet (cap and remove breaker) and refrigerator. Utility sink to remain. Not associated with AUR2019-00050.",3/18/2021,,,Pending at Applicant,3160 5TH ST,BOULDER,CO,80304,1.46124E+11,,Building Permit - Single Family Detached Dwelling,Remodel,6184,,,,,,,,100,,,,,,,,,"ENTELECHY, LLC",Contractor: General,40
DEM2021-00012,,Full demolition of a 436 sf detached garage. Historic demo approved under HIS2021-00020,3/18/2021,,,Pending at Applicant,941 GRANT PL,BOULDER,CO,80302,1.46136E+11,,Demolition Permit,Demolition Permit,0,,,,,,,,,436,,,Entire Building,,,,,PARADIGM CONSTRUCTION,Contractor: General,41
ELE2021-00392,BLD-SFD2021-00122,"Conversion of 140 sf unfinished storage area in basement into new bathroom with tub, shower, water closet and vanity. Current space is conditioned.",3/18/2021,,,Received,3677 CHASE CT,BOULDER,CO,80305,1.57705E+11,,Electrical Permit,Electrical Sub-Permit,3100,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,42
ELE2021-00393,BLD-SFD2021-00123,"Project consists of an addition and full house remodel of an existing two-story single family residence with main level living space and garage/finished basement at the lower level. Renovation work includes the removal and replacement of existing garage/kitchen wing; relocation of bathrooms on the main level (1208 SF), renovation of the basement studio space (924 SF), and new fixtures + finishes throughout. The existing area of the home in the setback is to remain. Addition includes a new master suite, office, and powder room on the main level totaling 917sf, and a new mudroom, exercise room, powder room, and storage at the basement level totaling 916 sf. All windows, doors, and exterior finishes will be replaced, and new roofs will be installed.",3/18/2021,,,Received,850 CIRCLE DR,BOULDER,CO,80302,1.46136E+11,,Electrical Permit,Electrical Sub-Permit,75000,,,,,,,,,,,,,,,,,Waiting for Licensed Contractor,Contractor: General,43
ELE2021-00394,BLD-SFD2021-00124,"Remodel of existing 180 sf kitchen, to include new lighting configuration, re-routing of existing plumbing and removal of walls",3/18/2021,,,Received,931 TELLER CIR,BOULDER,CO,80303,1.46333E+11,,Electrical Permit,Electrical Sub-Permit,5000,,,,,,,,,,,,,,,,,Waiting for Licensed Contractor,Contractor: General,44
ELE2021-00395,BLD-NRE2021-00039,"Tenant interior remodel for Speculative Suite. Project to include addition of breakroom, an office, a small conference room, and associated MEP scopes..",3/18/2021,,,Received,3005 CENTER GREEN DR,BOULDER,CO,80301,1.4632E+11,,Electrical Permit,Electrical Sub-Permit,8500,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,45
ELE2021-00396,BLD-SFD2021-00126,"New two-story residence with garage and partial basement.  3,085 sq ft first floor includes garage, kitchen, living, dining, flex/guest suite, and master suite.  701 sq ft upper floor includes guest suite and office.  453 sq ft basement includes storage and laundry room.",3/18/2021,,,Received,2587 3RD ST,BOULDER,CO,80304,1.46125E+11,,Electrical Permit,Electrical Sub-Permit,200530,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,46
ELE2021-00397,BLD-NRE2021-00040,"Tenant improvement to include new interior finishes, electrical work associated with tenant build out.",3/18/2021,,,Received,1539 PEARL ST,BOULDER,CO,80302,1.4633E+11,,Electrical Permit,Electrical Sub-Permit,45000,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,47
ELE2021-00398,BLD-SFD2021-00128,"261 sf kitchen remodel that includes removing wall between kitchen and dining room. 90 sf upper bathroom remodel that includes removal of a non-load bearing wall, minimal movement of plumbing fixtures, and replacement of existing light fixtures.",3/18/2021,,,Received,920 SYCAMORE AVE,BOULDER,CO,80303,1.46333E+11,,Electrical Permit,Electrical Sub-Permit,5500,,,,,,,,,,,,,,,,,Elizabeth Parsons,Owner/Contractor,48
ELE2021-00399,BLD-SFD2021-00129,"New 8,430sf single family residence which includes 1,275 sf of attached garages on 48,588 sf lot. Proposed swimming pool, spa and accessory building/pool house under separate permits.",3/18/2021,,,Received,604 KALMIA AVE,BOULDER,CO,80304,1.46124E+11,,Electrical Permit,Electrical Sub-Permit,80000,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,49
ELE2021-00400,BLD-SFD2021-00130,Interior alteration of a room originally constructed as a study in a single family detached dwelling constructed in 2019.  Scope includes remodel of the area for two new bedrooms and a bath.,3/18/2021,,,Received,1810 NORWOOD AVE,BOULDER,CO,80304,1.46319E+11,,Electrical Permit,Electrical Sub-Permit,5000,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,50
ELE2021-00401,BLD-MFD2021-00016,3-unit residential multi-family dwelling with new stair tower addition.,3/18/2021,,,Received,946 SPRUCE ST,BOULDER,CO,80302,1.46125E+11,,Electrical Permit,Electrical Sub-Permit,37000,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,51
BLD-MFD2021-00018,,"New Multi-Family Dwelling Building with a total of 14 Units: 4 x 4 Bedroom End Units, 4 x 4 Bedroom and 6 x 3 Bedroom Units Units. Total of 20 306 SF of residential area. 

Parking at Level 1. 36 Parking spaces. Each Unit has private 2 Parking spaces plus 8 Parking spaces at Level 1 provided. Total of 7 804 SF.  Project has two Building ( 7 Units each) connected with deck at Level 1.",3/23/2021,,,Pending at Applicant,1422 55TH ST,BOULDER,CO,80303,1.46334E+11,,Building Permit - Multifamily,New,1513146.41,,,7,,,,18738,,,,,,,,,,"AGR BUILDING, INC",Contractor: General,52
BLD-SFD2021-00141,,"988 sf basement finish. Scope includes creation of 2 bedrooms and one bath, and a wet bar.",3/23/2021,,,In Review,3070 18TH ST,BOULDER,CO,80304,1.46319E+11,,Building Permit - Single Family Detached Dwelling,Remodel,61097.92,,,,,,,,988,,,,,,,,,STRONG BACKS & ARTISTIC HANDS,Contractor: General,53
BLD-SFD2021-00142,,"Kitchen remodel to include demolition of some walls + all new cabinets, counters, and appliances. Window, door + skylight replacement on main level + two lower levels. Replace main floor + lower lvl fireplaces w/ gas fireplaces. Existing mechanical to remain. Existing 150 amp panel to be replaced with 200 amp panel. Existing wood floor to be patched and refinished on main level, tv room level; refinished on upper level in master bedroom and hallway. Add hardwired smoke detectors in all bedrooms. Add CO detectors in adjacent hallways.",3/23/2021,,,Pending at Applicant,817 QUINCE AVE,BOULDER,CO,80304,1.46113E+11,,Building Permit - Single Family Detached Dwelling,Remodel,124800,,,,,,,,1601,,,,,,,,,PRANA CONSTRUCTION INC,Contractor: General,54
ELE2021-00415,,"Permit to bring all exterior lighting (site/walkway/building mounted) at the Boulder Talisman (The Boulders at Talisman) community consisting of  26 attached dwelling buildings and a clubhouse. 
Scope is replacement of all existing fixtures with compliant fixtures and lamps only in existing locations.  All fixtures are elevated above the BFE where the 100 year floodplain is mapped on site.",3/23/2021,,,Payment Pending,3600 IRIS AVE,BOULDER,CO,80301,1.4632E+11,,Electrical Permit,Electrical Permit,14520,,,,,,,,,,,,,,,,,BAN ELECTRIC SERVICES INC,Contractor: Electrical,55
ELE2021-00416,,Upgrade service to 200 Amp,3/23/2021,,,Received - Online,3682 CHASE CT,BOULDER,CO,80305,1.57705E+11,,Electrical Permit,Electrical Permit,2000,,,,,,,,,,,,,,,,,SOUTH PAW ELECTRIC CO,Contractor: Electrical,56
ELE2021-00417,BLD-SFD2021-00141,"988 sf basement finish. Scope includes creation of 2 bedrooms and one bath, and a wet bar.",3/23/2021,,,Received,3070 18TH ST,BOULDER,CO,80304,1.46319E+11,,Electrical Permit,Electrical Sub-Permit,1200,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,57
ELE2021-00418,BLD-SFD2021-00142,"Kitchen remodel to include demolition of some walls + all new cabinets, counters, and appliances. Window, door + skylight replacement on main level + two lower levels. Replace main floor + lower lvl fireplaces w/ gas fireplaces. Existing mechanical to remain. Existing 150 amp panel to be replaced with 200 amp panel. Existing wood floor to be patched and refinished on main level, tv room level; refinished on upper level in master bedroom and hallway. Add hardwired smoke detectors in all bedrooms. Add CO detectors in adjacent hallways.",3/23/2021,,,Received,817 QUINCE AVE,BOULDER,CO,80304,1.46113E+11,,Electrical Permit,Electrical Sub-Permit,6500,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,58
FIR2021-00098,,new addressable fire alarm system with low frequency notification in 2 story townhome,3/23/2021,,,In Review,3285 PALO PKWY,BOULDER,CO,80301,1.46317E+11,,Fire Permit,Fire Permit,7170,,,,,,,,,,,,,,,,,TRIDENT SECURITY SYSTEMS,Contractor: Fire,59
MEC2021-00505,,Install replacement 40 Gallon water heater,3/23/2021,,,Received - Online,2450 8TH ST,BOULDER,CO,80304,1.46125E+11,,Mechanical Permit,Mechanical HVAC/Solar,3867,,,,,,,,,,,,,,,,,PRECISION PLUMBING & HEATING,Contractor: Plumbing,60
MEC2021-00506,,"Replace 110,00 BTU 80% gas furnace",3/23/2021,,,Received - Online,4865 FOUNTAIN ST,BOULDER,CO,80302,1.46112E+11,,Mechanical Permit,Mechanical HVAC/Solar,4400,,,,,,,,,,,,,,,,,"IMS HEATING & AIR, INC",Contractor: Mechanical,61
MEC2021-00507,BLD-SFD2021-00141,"988 sf basement finish. Scope includes creation of 2 bedrooms and one bath, and a wet bar.",3/23/2021,,,Received,3070 18TH ST,BOULDER,CO,80304,1.46319E+11,,Mechanical Permit,Mechanical Sub-Permit,350,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,62
MEC2021-00508,,Replace 50 gallon gas water heater,3/23/2021,,,Received - Online,1407 KENNEDY CT,BOULDER,CO,80303,1.46333E+11,,Mechanical Permit,Mechanical HVAC/Solar,1950,,,,,,,,,,,,,,,,,"PLANET PLUMBING, INC",Contractor: General,63
